App Name,Downloads/M 的總和,Last Update Date,rate 的總和,Release Date,Revenue/M 的總和
"Salt & Pepper, Don't mix em up",1000,2024-05-21 00:00:00 UTC,1,2022-04-29 00:00:00 UTC,1000
Same Color,1000,2024-07-30 00:00:00 UTC,1,2023-05-05 00:00:00 UTC,1000
Sand Blocks,1000,2025-03-04 00:00:00 UTC,1,2023-06-13 00:00:00 UTC,1000
Scribble Rider,90000,2025-05-23 00:00:00 UTC,0.0111111111111111,2020-07-23 00:00:00 UTC,1000
Sew 3D,7000,2024-11-01 00:00:00 UTC,0.142857142857143,2022-04-28 00:00:00 UTC,1000
Shapes Fit,1000,2023-12-24 00:00:00 UTC,1,2022-06-30 00:00:00 UTC,1000
Shopping Quest,1000,2025-02-25 00:00:00 UTC,1,"",1000
Shortcut Run,20000,2025-03-04 00:00:00 UTC,0.05,2020-10-16 00:00:00 UTC,1000
Shot Factor,50000,2024-05-22 00:00:00 UTC,0.02,2021-09-16 00:00:00 UTC,1000
Sky Glider 3D,1000,2023-02-23 00:00:00 UTC,1,2020-10-29 00:00:00 UTC,1000
Sky Rusher,1000,2018-08-14 00:00:00 UTC,1,2018-05-21 00:00:00 UTC,1000
Skyline Bowling,50000,2024-09-30 00:00:00 UTC,0.02,2023-05-16 00:00:00 UTC,1000
Slap and Run,200000,2025-01-28 00:00:00 UTC,0.005,2021-11-09 00:00:00 UTC,1000
Slice It All!,400000,2025-05-28 00:00:00 UTC,0.0025,2021-05-11 00:00:00 UTC,1000
Slice This!,1000,2024-12-20 00:00:00 UTC,1,2022-01-10 00:00:00 UTC,1000
Slinky Jam,1000,2024-07-10 00:00:00 UTC,1,2024-03-14 00:00:00 UTC,1000
Smash,1000,2020-09-21 00:00:00 UTC,1,2020-05-14 00:00:00 UTC,1000
Smash Cars!,1000,2020-01-22 00:00:00 UTC,1,2020-01-22 00:00:00 UTC,1000
Snack.io,1000,2020-09-08 00:00:00 UTC,1,2019-11-06 00:00:00 UTC,1000
Snake VS Block,30000,2025-01-19 00:00:00 UTC,0.0333333333333333,2017-05-29 00:00:00 UTC,1000
Snaker.io !,1000,2024-05-23 00:00:00 UTC,1,2019-04-07 00:00:00 UTC,1000
Sniper Siege: Defend & Destroy,500000,2025-06-02 00:00:00 UTC,0.08,2023-09-28 00:00:00 UTC,40000
Snow Speculator,1000,2022-11-03 00:00:00 UTC,1,2022-02-28 00:00:00 UTC,1000
Soccer Kick,300000,2025-03-10 00:00:00 UTC,0.00333333333333333,2018-09-07 00:00:00 UTC,1000
Spin and Slice,1000,2024-05-24 00:00:00 UTC,1,2023-01-15 00:00:00 UTC,1000
Spiral Rider,40000,2025-01-08 00:00:00 UTC,0.025,2022-12-08 00:00:00 UTC,1000
Spiral Roll,50000,2025-06-06 00:00:00 UTC,0.02,2020-03-10 00:00:00 UTC,1000
Splashy!,1000,2024-05-22 00:00:00 UTC,1,2018-02-01 00:00:00 UTC,1000
Square Sort,1000,2024-01-16 00:00:00 UTC,1,2022-07-06 00:00:00 UTC,1000
Stack Attack!!,1000,2025-03-22 00:00:00 UTC,1,"",1000
Stack Colors!,1000,2025-06-06 00:00:00 UTC,1,2020-06-03 00:00:00 UTC,1000
Stack em Up!,1000,2025-01-23 00:00:00 UTC,1,2023-10-05 00:00:00 UTC,1000
Stack Fall,1000,2021-01-07 00:00:00 UTC,1,2019-04-02 00:00:00 UTC,1000
